Type,URL (no base),Query params (if any),Dynamic filename?,Notes,
ROUTE,/,(redirect),No,Redirects to /dashboard,
ROUTE,/dashboard,"wizardMode,wizardPlanId,wizardPlanType,wizardPlanStatus",No,Example: /dashboard?wizardMode=view&wizardPlanId=<id>&wizardPlanType=<type>&wizardPlanStatus=<status>,
ROUTE,/employees,tab,No,Example: /employees?tab=0 (merged into URL),
ROUTE,/opportunities,,No,,
ROUTE,/opportunities/admin,,No,,
ROUTE,/opportunities/:id,from,No,Example: /opportunities/123?from=list,
ROUTE,/vendors,,No,,
ROUTE,/my-profile,,No,,
ROUTE,/settings,,No,,
ROUTE,/settings/holidays-management,,No,,
ROUTE,/plans,"opportunityId,investorId,investorName,status,assignee,wizardMode,wizardPlanId,wizardPlanType,wizardPlanStatus",No,Examples: /plans?opportunityId=<id> | /plans?investorId=<id>&investorName=<name> | /plans?status=<status or repeated> | /plans?assignee=<empId> | /plans?wizardMode=view&wizardPlanId=<id>&wizardPlanType=<type>&wizardPlanStatus=<status>,
ROUTE,/auth/login,dev (non-prod only),No,"In production, 'dev' is ignored (checked only when environment.production === false)",
ROUTE,/auth/forgot-password,,No,,
ROUTE,/auth/reset-password,,No,,
ROUTE,/auth/register,,No,,
ROUTE,/auth/verify-email,,No,,
ROUTE,/auth/verification,autoResend,No,Example: /auth/verification?autoResend=1 (then cleared),
ROUTE,/public/opportunities,,No,,
ROUTE,/public/opportunities/:id,from,No,Example: /public/opportunities/123?from=list,
ROUTE,/**,(catch-all),No,Redirects to /,
STATIC,/index.html,,No,App shell,
STATIC,/favicon.ico,,No,Favicon,
STATIC,/web.config,,No,From root assets config (copied to output root),
STATIC,/3rdpartylicenses.txt,,No,Generated by build,
STATIC,/assets/**,,No,All files under src/assets copied as-is to /assets,
STATIC,/assets/i18n/ar.json,,No,,
STATIC,/assets/i18n/en.json,,No,,
STATIC,/assets/images/*,,No,Examples: /assets/images/company-building.png /assets/images/logo.png /assets/images/globe.svg,
STATIC,/assets/fonts/**,,No,Examples: /assets/fonts/icomoon/Benaa-Icons.woff2 /assets/fonts/Inter/Inter-VariableFont_opsz,wght.ttf /assets/fonts/saudi-font/Arshid.woff
STATIC,/(public folder files),,No,Any file under public/** is served from /<same-path> (copied to dist root),
STATIC,/main-<hash>.js,,Yes,Example from last build: /main-MPUM6MNF.js,
STATIC,/styles-<hash>.css,,Yes,Example from last build: /styles-VRRANLCM.css,
STATIC,/chunk-<hash>.js,,Yes,Example from last build: /chunk-CYZMIYKV.js (many),
STATIC,/media/<name>-<hash>.<ext>,,Yes,"Bundler-emitted assets referenced by CSS/JS. Examples: /media/Inter-VariableFont_opsz,wght-ZQT46P7R.ttf /media/company-building-WDNPKXS7.png",
